0.483,0.639,0.309,0.486,1.000,1.000
0.451,0.465,0.210,0.613,1.000,1.000
0.694,0.383,0.266,0.384,1.000,1.000
0.506,0.500,0.253,0.595,1.000,1.000
0.898,0.528,0.473,0.530,1.000,1.000
0.646,0.066,0.043,0.520,1.000,1.000
0.543,0.346,0.188,0.554,1.000,1.000
0.484,0.553,0.267,0.306,1.000,1.000
0.594,0.602,0.358,0.769,1.000,1.000
0.477,0.356,0.170,0.744,1.000,1.000
0.447,0.359,0.160,0.603,1.000,1.000
0.515,0.455,0.234,0.503,1.000,1.000
0.473,0.597,0.283,0.209,1.000,1.000
0.649,0.725,0.470,0.441,1.000,1.000
0.527,0.384,0.202,0.380,1.000,1.000
0.526,0.492,0.258,0.905,1.000,1.000
0.619,0.604,0.374,0.526,1.000,1.000
0.498,0.580,0.289,0.529,1.000,1.000
0.393,0.374,0.147,0.503,1.000,1.000
0.374,0.552,0.206,0.597,1.000,1.000
0.526,0.451,0.237,0.810,1.000,1.000
0.572,0.624,0.357,0.655,1.000,1.000
0.430,0.550,0.237,0.521,1.000,1.000
0.507,0.549,0.278,0.573,1.000,1.000
0.399,0.514,0.205,0.302,1.000,1.000
0.514,0.496,0.255,0.534,1.000,1.000
0.551,0.524,0.289,0.615,1.000,1.000
0.184,0.348,0.064,0.442,1.000,1.000
0.413,0.541,0.223,0.318,1.000,1.000
0.635,0.384,0.244,0.461,1.000,1.000
0.690,0.289,0.200,0.802,1.000,1.000
0.600,0.366,0.220,0.537,1.000,1.000
0.474,0.388,0.184,0.517,1.000,1.000
0.490,0.495,0.243,0.388,1.000,1.000
0.476,0.613,0.292,0.566,1.000,1.000
0.449,0.381,0.171,0.484,1.000,1.000
0.464,0.395,0.183,0.496,1.000,1.000
0.429,0.464,0.199,0.479,1.000,1.000
0.579,0.441,0.255,0.642,1.000,1.000
0.464,0.580,0.269,0.627,1.000,1.000
0.493,0.561,0.277,0.383,1.000,1.000
0.632,0.221,0.140,0.326,1.000,1.000
0.473,0.432,0.204,0.252,1.000,1.000
0.455,0.802,0.365,0.365,1.000,1.000
0.722,0.554,0.400,0.542,1.000,1.000
0.334,0.489,0.163,0.307,1.000,1.000
0.585,0.495,0.289,0.533,1.000,1.000
0.428,0.604,0.259,0.396,1.000,1.000
0.444,0.303,0.135,0.610,1.000,1.000
0.501,0.615,0.308,0.808,1.000,1.000
0.564,0.718,0.405,0.474,1.000,1.000
0.278,0.373,0.104,0.422,1.000,1.000
0.415,0.546,0.226,0.391,1.000,1.000
0.440,0.449,0.198,0.456,1.000,1.000
0.297,0.215,0.064,0.416,1.000,1.000
0.517,0.404,0.209,0.622,1.000,1.000
0.558,0.640,0.357,0.345,1.000,1.000
0.430,0.392,0.168,0.515,1.000,1.000
0.649,0.484,0.315,0.562,1.000,1.000
0.517,0.536,0.277,0.557,1.000,1.000
0.515,0.473,0.243,0.586,1.000,1.000
0.512,0.638,0.327,0.657,1.000,1.000
0.407,0.376,0.153,0.884,1.000,1.000
0.399,0.479,0.191,0.211,1.000,1.000
0.696,0.724,0.504,0.758,1.000,1.000
0.629,0.446,0.280,0.358,1.000,1.000
0.568,0.577,0.328,0.484,1.000,1.000
0.572,0.457,0.261,0.629,1.000,1.000
0.658,0.407,0.267,0.432,1.000,1.000
0.512,0.385,0.197,0.602,1.000,1.000
0.415,0.606,0.252,0.352,1.000,1.000
0.566,0.425,0.240,0.357,1.000,1.000
0.256,0.552,0.141,0.407,1.000,1.000
0.333,0.455,0.152,0.197,1.000,1.000
0.351,0.584,0.205,0.445,1.000,1.000
0.437,0.570,0.249,0.465,1.000,1.000
0.502,0.406,0.204,0.448,1.000,1.000
0.524,0.769,0.403,0.628,1.000,1.000
0.331,0.539,0.178,0.360,1.000,1.000
0.754,0.516,0.389,0.246,1.000,1.000
0.797,0.551,0.439,0.302,1.000,1.000
0.586,0.470,0.275,0.350,1.000,1.000
0.488,0.406,0.198,0.748,1.000,1.000
0.412,0.472,0.194,0.671,1.000,1.000
0.433,0.275,0.119,0.337,1.000,1.000
0.653,0.641,0.419,0.339,1.000,1.000
0.389,0.561,0.218,0.051,1.000,1.000
0.407,0.632,0.257,0.254,1.000,1.000
0.648,0.266,0.172,0.785,1.000,1.000
0.542,0.464,0.252,0.218,1.000,1.000
0.371,0.647,0.240,0.387,1.000,1.000
0.593,0.668,0.396,0.469,1.000,1.000
0.647,0.413,0.268,0.777,1.000,1.000
0.295,0.279,0.082,0.577,1.000,1.000
0.638,0.476,0.304,0.489,1.000,1.000
0.576,0.360,0.207,0.198,1.000,1.000
0.463,0.569,0.264,0.392,1.000,1.000
0.408,0.341,0.139,0.750,1.000,1.000
0.751,0.517,0.388,0.345,1.000,1.000
0.100,0.526,0.053,0.316,1.000,1.000
0.552,0.331,0.182,0.519,1.000,1.000
0.467,0.541,0.252,0.424,1.000,1.000
0.502,0.584,0.293,0.634,1.000,1.000
0.365,0.352,0.128,0.400,1.000,1.000
0.632,0.717,0.453,0.306,1.000,1.000
0.635,0.303,0.193,0.306,1.000,1.000
0.590,0.475,0.281,0.316,1.000,1.000
0.587,0.663,0.389,0.354,1.000,1.000
0.390,0.315,0.123,0.596,1.000,1.000
0.491,0.329,0.162,0.358,1.000,1.000
0.607,0.617,0.374,0.507,1.000,1.000
0.654,0.381,0.249,0.353,1.000,1.000
0.477,0.479,0.228,0.687,1.000,1.000
0.439,0.552,0.242,0.347,1.000,1.000
0.488,0.724,0.353,0.119,1.000,1.000
0.526,0.519,0.273,0.360,1.000,1.000
0.536,0.613,0.328,0.592,1.000,1.000
0.601,0.387,0.232,0.671,1.000,1.000
0.404,0.472,0.191,0.101,1.000,1.000
0.538,0.519,0.279,0.665,1.000,1.000
0.486,0.376,0.183,0.142,1.000,1.000
0.455,0.324,0.147,0.393,1.000,1.000
0.383,0.496,0.190,0.238,1.000,1.000
0.259,0.432,0.112,0.239,1.000,1.000
0.687,0.465,0.319,0.423,1.000,1.000
0.310,0.669,0.207,0.463,1.000,1.000
0.657,0.727,0.478,0.296,1.000,1.000
0.581,0.679,0.395,0.581,1.000,1.000
0.495,0.673,0.333,0.491,1.000,1.000
0.474,0.532,0.252,0.433,1.000,1.000
0.633,0.535,0.339,0.388,1.000,1.000
0.557,0.484,0.270,0.349,1.000,1.000
0.541,0.806,0.436,0.544,1.000,1.000
0.724,0.474,0.343,0.407,1.000,1.000
0.526,0.676,0.356,0.786,1.000,1.000
0.659,0.698,0.460,0.527,1.000,1.000
0.576,0.333,0.192,0.644,1.000,1.000
0.553,0.570,0.315,0.461,1.000,1.000
0.351,0.506,0.178,0.516,1.000,1.000
0.369,0.402,0.148,0.537,1.000,1.000
0.561,0.417,0.234,0.796,1.000,1.000
0.363,0.437,0.159,0.347,1.000,1.000
0.384,0.293,0.112,0.490,1.000,1.000
0.716,0.408,0.292,0.747,1.000,1.000
0.519,0.555,0.288,0.534,1.000,1.000
0.762,0.273,0.208,0.342,1.000,1.000
0.682,0.429,0.292,0.801,1.000,1.000
0.465,0.440,0.204,0.438,1.000,1.000
0.641,0.659,0.422,0.081,1.000,1.000
0.489,0.575,0.281,0.312,1.000,1.000
0.633,0.568,0.360,0.601,1.000,1.000
0.638,0.470,0.300,0.437,1.000,1.000
0.395,0.437,0.172,0.364,1.000,1.000
0.546,0.534,0.292,0.382,1.000,1.000
0.386,0.351,0.135,0.700,1.000,1.000
0.620,0.642,0.398,0.473,1.000,1.000
0.412,0.619,0.255,0.124,1.000,1.000
0.691,0.457,0.316,0.548,1.000,1.000
0.314,0.604,0.190,0.532,1.000,1.000
0.386,0.449,0.173,0.705,1.000,1.000
0.438,0.610,0.267,0.553,1.000,1.000
0.322,0.808,0.261,0.300,1.000,1.000
0.377,0.592,0.223,0.383,1.000,1.000
0.198,0.412,0.082,0.903,1.000,1.000
0.455,0.478,0.217,0.354,1.000,1.000
0.529,0.531,0.281,0.536,1.000,1.000
0.506,0.618,0.313,0.677,1.000,1.000
0.540,0.444,0.240,0.330,1.000,1.000
0.239,0.296,0.071,0.804,1.000,1.000
0.576,0.316,0.182,0.515,1.000,1.000
0.572,0.478,0.273,0.398,1.000,1.000
0.406,0.517,0.210,0.393,1.000,1.000
0.439,0.418,0.184,0.181,1.000,1.000
0.658,0.380,0.250,0.756,1.000,1.000
0.679,0.419,0.285,0.508,1.000,1.000
0.517,0.648,0.335,0.387,1.000,1.000
0.620,0.466,0.289,0.207,1.000,1.000
0.622,0.541,0.337,0.678,1.000,1.000
0.445,0.505,0.225,0.598,1.000,1.000
0.739,0.413,0.305,0.230,1.000,1.000
0.406,0.695,0.282,0.476,1.000,1.000
0.647,0.309,0.200,0.446,1.000,1.000
0.327,0.469,0.154,0.580,1.000,1.000
0.526,0.307,0.161,0.437,1.000,1.000
0.296,0.646,0.191,0.343,1.000,1.000
0.420,0.725,0.305,0.478,1.000,1.000
0.502,0.499,0.251,0.490,1.000,1.000
0.428,0.661,0.283,0.485,1.000,1.000
0.522,0.269,0.140,0.595,1.000,1.000
0.481,0.625,0.301,0.705,1.000,1.000
0.459,0.454,0.208,0.372,1.000,1.000
0.613,0.525,0.322,0.597,1.000,1.000
0.656,0.397,0.260,0.540,1.000,1.000
0.466,0.682,0.318,0.375,1.000,1.000
0.537,0.739,0.397,0.419,1.000,1.000
0.233,0.586,0.137,0.361,1.000,1.000
0.251,0.335,0.084,0.350,1.000,1.000
0.623,0.599,0.373,0.707,1.000,1.000
0.371,0.401,0.149,0.476,1.000,1.000
0.428,0.443,0.189,0.547,1.000,1.000
0.575,0.569,0.327,0.373,1.000,1.000
0.631,0.460,0.290,0.367,1.000,1.000
0.317,0.433,0.137,0.558,1.000,1.000
0.394,0.401,0.158,0.466,1.000,1.000
0.485,0.459,0.223,0.513,1.000,1.000
0.671,0.421,0.282,0.365,1.000,1.000
0.543,0.576,0.313,0.322,1.000,1.000
0.437,0.597,0.261,0.479,1.000,1.000
0.623,0.324,0.202,0.626,1.000,1.000
0.415,0.541,0.224,0.488,1.000,1.000
0.553,0.327,0.181,0.281,1.000,1.000
0.387,0.412,0.159,0.769,1.000,1.000
0.253,0.613,0.155,0.433,1.000,1.000
0.323,0.393,0.127,0.372,1.000,1.000
0.563,0.442,0.249,0.658,1.000,1.000
0.692,0.556,0.384,0.588,1.000,1.000
0.453,0.581,0.263,0.819,1.000,1.000
0.477,0.463,0.221,0.784,1.000,1.000
0.657,0.733,0.482,0.483,1.000,1.000
0.534,0.608,0.325,0.511,1.000,1.000
0.582,0.432,0.252,0.678,1.000,1.000
0.534,0.410,0.219,0.514,1.000,1.000
0.337,0.706,0.238,0.343,1.000,1.000
0.562,0.584,0.328,0.593,1.000,1.000
0.647,0.221,0.143,0.765,1.000,1.000
0.561,0.492,0.276,0.465,1.000,1.000
0.387,0.519,0.201,0.572,1.000,1.000
0.508,0.425,0.216,0.522,1.000,1.000
0.444,0.718,0.318,0.409,1.000,1.000
0.499,0.594,0.297,0.481,1.000,1.000
0.356,0.496,0.176,0.717,1.000,1.000
0.647,0.405,0.262,0.379,1.000,1.000
0.552,0.264,0.146,0.605,1.000,1.000
0.567,0.296,0.168,0.818,1.000,1.000
0.264,0.702,0.185,0.561,1.000,1.000
0.637,0.557,0.355,0.643,1.000,1.000
0.588,0.595,0.350,0.331,1.000,1.000
0.443,0.544,0.241,0.871,1.000,1.000
0.316,0.304,0.096,0.512,1.000,1.000
0.654,0.602,0.394,0.483,1.000,1.000
0.417,0.470,0.196,0.586,1.000,1.000
0.307,0.389,0.119,0.762,1.000,1.000
0.673,0.340,0.229,0.250,1.000,1.000
0.476,0.574,0.273,0.463,1.000,1.000
0.402,0.283,0.114,0.558,1.000,1.000
0.536,0.279,0.150,0.195,1.000,1.000
0.439,0.675,0.296,0.550,1.000,1.000
0.415,0.390,0.162,0.320,1.000,1.000
0.677,0.745,0.504,0.833,1.000,1.000
0.500,0.415,0.207,0.435,1.000,1.000
0.444,0.672,0.299,0.839,1.000,1.000
0.599,0.667,0.400,0.536,1.000,1.000
0.767,0.258,0.198,0.364,1.000,1.000
0.626,0.530,0.332,0.410,1.000,1.000
0.504,0.451,0.227,0.321,1.000,1.000
0.702,0.465,0.327,0.268,1.000,1.000
0.630,0.661,0.416,0.341,1.000,1.000
0.396,0.433,0.172,0.520,1.000,1.000
0.505,0.549,0.278,0.332,1.000,1.000
0.276,0.615,0.170,0.828,1.000,1.000
0.371,0.350,0.130,0.646,1.000,1.000
0.291,0.449,0.131,0.363,1.000,1.000
0.467,0.351,0.164,0.402,1.000,1.000
0.466,0.554,0.258,0.360,1.000,1.000
0.467,0.552,0.258,0.534,1.000,1.000
0.472,0.705,0.333,0.546,1.000,1.000
0.566,0.658,0.373,0.497,1.000,1.000
0.615,0.423,0.260,0.621,1.000,1.000
0.707,0.529,0.374,0.702,1.000,1.000
0.528,0.504,0.266,0.486,1.000,1.000
0.582,0.645,0.375,0.641,1.000,1.000
0.571,0.635,0.363,0.563,1.000,1.000
0.285,0.399,0.114,0.388,1.000,1.000
0.421,0.482,0.203,0.754,1.000,1.000
0.338,0.602,0.204,0.203,1.000,1.000
0.463,0.363,0.168,0.349,1.000,1.000
0.575,0.635,0.365,0.574,1.000,1.000
0.487,0.707,0.344,0.495,1.000,1.000
0.475,0.676,0.321,0.460,1.000,1.000
0.493,0.510,0.252,0.662,1.000,1.000
0.569,0.451,0.257,0.619,1.000,1.000
0.595,0.591,0.351,0.605,1.000,1.000
0.735,0.376,0.276,0.578,1.000,1.000
0.571,0.337,0.192,0.312,1.000,1.000
0.390,0.568,0.221,0.611,1.000,1.000
0.411,0.530,0.218,0.524,1.000,1.000
0.565,0.384,0.217,0.511,1.000,1.000
0.333,0.428,0.143,0.598,1.000,1.000
0.332,0.429,0.142,0.259,1.000,1.000
0.512,0.483,0.247,0.425,1.000,1.000
0.546,0.523,0.286,0.537,1.000,1.000
0.540,0.401,0.217,0.572,1.000,1.000
0.658,0.406,0.267,0.511,1.000,1.000
0.770,0.545,0.420,0.659,1.000,1.000
0.578,0.543,0.314,0.665,1.000,1.000
0.517,0.423,0.219,0.511,1.000,1.000
0.598,0.390,0.233,0.479,1.000,1.000
0.353,0.596,0.211,0.652,1.000,1.000
0.589,0.420,0.247,0.634,1.000,1.000
0.508,0.406,0.206,0.539,1.000,1.000
0.403,0.387,0.156,0.498,1.000,1.000
0.595,0.397,0.236,0.504,1.000,1.000
0.373,0.542,0.202,0.486,1.000,1.000
0.288,0.338,0.097,0.612,1.000,1.000
0.470,0.738,0.347,0.345,1.000,1.000
0.606,0.407,0.247,0.353,1.000,1.000
0.286,0.317,0.091,0.349,1.000,1.000
0.414,0.462,0.192,0.415,1.000,1.000
0.452,0.431,0.195,0.351,1.000,1.000
0.291,0.489,0.142,0.620,1.000,1.000
0.409,0.401,0.164,0.622,1.000,1.000
0.525,0.623,0.327,0.780,1.000,1.000
0.645,0.247,0.159,0.482,1.000,1.000
0.323,0.437,0.141,0.710,1.000,1.000
0.575,0.322,0.185,0.528,1.000,1.000
0.469,0.710,0.333,0.430,1.000,1.000
0.516,0.634,0.327,0.624,1.000,1.000
0.408,0.603,0.246,0.445,1.000,1.000
0.573,0.398,0.228,0.568,1.000,1.000
0.418,0.371,0.155,0.392,1.000,1.000
0.468,0.653,0.306,0.409,1.000,1.000
0.454,0.521,0.236,0.615,1.000,1.000
0.514,0.669,0.344,0.444,1.000,1.000
0.499,0.429,0.214,0.259,1.000,1.000
0.447,0.577,0.258,0.503,1.000,1.000
0.466,0.485,0.226,0.372,1.000,1.000
0.386,0.477,0.184,0.715,1.000,1.000
0.712,0.461,0.328,0.333,1.000,1.000
0.627,0.468,0.294,0.610,1.000,1.000
0.546,0.427,0.233,0.487,1.000,1.000
0.416,0.443,0.184,0.421,1.000,1.000
0.470,0.604,0.284,0.628,1.000,1.000
0.635,0.327,0.207,0.343,1.000,1.000
0.480,0.556,0.267,0.556,1.000,1.000
0.379,0.275,0.104,0.304,1.000,1.000
0.237,0.592,0.140,0.325,1.000,1.000
0.269,0.528,0.142,0.211,1.000,1.000
0.349,0.512,0.179,0.947,1.000,1.000
0.397,0.550,0.218,0.142,1.000,1.000
0.451,0.502,0.227,0.867,1.000,1.000
0.652,0.486,0.317,0.755,1.000,1.000
0.421,0.469,0.198,0.276,1.000,1.000
0.577,0.536,0.309,0.552,1.000,1.000
0.601,0.863,0.518,0.351,1.000,1.000
0.599,0.577,0.345,0.709,1.000,1.000
0.265,0.359,0.095,0.714,1.000,1.000
0.397,0.505,0.200,0.331,1.000,1.000
0.624,0.722,0.451,0.407,1.000,1.000
0.497,0.619,0.308,0.339,1.000,1.000
0.610,0.360,0.220,0.527,1.000,1.000
0.512,0.371,0.190,0.428,1.000,1.000
0.532,0.551,0.293,0.617,1.000,1.000
0.451,0.544,0.245,0.402,1.000,1.000
0.472,0.341,0.161,0.584,1.000,1.000
0.538,0.698,0.375,0.700,1.000,1.000
0.361,0.605,0.218,0.525,1.000,1.000
0.484,0.590,0.286,0.501,1.000,1.000
0.727,0.606,0.441,0.421,1.000,1.000
0.394,0.414,0.163,0.559,1.000,1.000
0.633,0.309,0.195,0.314,1.000,1.000
0.478,0.538,0.257,0.499,1.000,1.000
0.388,0.651,0.253,0.422,1.000,1.000
0.539,0.445,0.240,0.661,1.000,1.000
0.532,0.551,0.293,0.610,1.000,1.000
0.481,0.397,0.191,0.810,1.000,1.000
0.332,0.572,0.190,0.329,1.000,1.000
0.543,0.562,0.305,0.810,1.000,1.000
0.539,0.632,0.341,0.514,1.000,1.000
0.419,0.674,0.283,0.608,1.000,1.000
0.389,0.426,0.166,0.599,1.000,1.000
0.506,0.660,0.334,0.338,1.000,1.000
0.667,0.471,0.314,0.694,1.000,1.000
0.481,0.444,0.213,0.595,1.000,1.000
0.503,0.476,0.240,0.470,1.000,1.000
0.631,0.859,0.542,0.636,1.000,1.000
0.436,0.408,0.178,0.549,1.000,1.000
0.713,0.524,0.374,0.619,1.000,1.000
0.674,0.367,0.248,0.521,1.000,1.000
0.762,0.499,0.381,0.641,1.000,1.000
0.185,0.485,0.090,0.268,1.000,1.000
0.426,0.695,0.296,0.484,1.000,1.000
0.725,0.515,0.374,0.332,1.000,1.000
0.461,0.497,0.229,0.751,1.000,1.000
0.464,0.554,0.257,0.442,1.000,1.000
0.527,0.383,0.202,0.529,1.000,1.000
0.521,0.563,0.293,0.404,1.000,1.000
0.590,0.477,0.281,0.649,1.000,1.000
0.362,0.454,0.164,0.470,1.000,1.000
0.417,0.629,0.262,0.581,1.000,1.000
0.684,0.665,0.455,0.408,1.000,1.000
0.568,0.506,0.287,0.643,1.000,1.000
0.412,0.594,0.245,0.628,1.000,1.000
0.652,0.573,0.374,0.757,1.000,1.000
0.627,0.478,0.300,0.750,1.000,1.000
0.382,0.806,0.308,0.400,1.000,1.000
0.422,0.737,0.311,0.539,1.000,1.000
0.603,0.422,0.255,0.484,1.000,1.000
